0.9454	0.9475	4.76731	0.568291	0.555475	0.00627376	0.022136
0.9454	0.947	4.77669	0.571052	0.558124	0.00630107	0.0222114
0.9454	0.9465	4.77901	0.571587	0.558634	0.006308	0.0222248
0.9454	0.946	4.77998	0.571795	0.558833	0.00631039	0.0222286
0.9454	0.9455	4.78091	0.571947	0.558979	0.00631247	0.0222329
0.9454	0.945	4.78151	0.572027	0.559055	0.00631363	0.0222345
0.9454	0.9445	4.78146	0.572	0.559031	0.00631295	0.0222306
0.9454	0.944	4.78141	0.571958	0.558993	0.00631229	0.0222265
0.9454	0.9435	4.78132	0.571909	0.558947	0.00631153	0.022222
0.9454	0.943	4.78137	0.571874	0.558915	0.00631111	0.0222187
0.9454	0.9425	4.78132	0.57182	0.558863	0.0063104	0.0222149
0.9454	0.942	4.78122	0.571756	0.558803	0.00630963	0.0222105
0.9454	0.9415	4.7812	0.5717	0.558751	0.00630901	0.0222067
0.9454	0.941	4.7811	0.571629	0.558683	0.0063082	0.0222023
0.9454	0.94	4.78087	0.571476	0.558539	0.00630644	0.0221931
0.9454	0.939	4.7806	0.571313	0.558385	0.00630453	0.0221835
0.9454	0.938	4.78015	0.57112	0.558203	0.00630219	0.0221724
0.9454	0.937	4.77948	0.570884	0.557979	0.0062992	0.022159
0.9454	0.936	4.77892	0.57066	0.557767	0.00629653	0.0221465
0.9454	0.935	4.77827	0.570407	0.557526	0.0062936	0.0221329
0.9454	0.934	4.77737	0.570123	0.557258	0.00629011	0.0221176
0.9454	0.933	4.77626	0.569796	0.556947	0.00628603	0.0221001
0.9454	0.932	4.77501	0.569445	0.556614	0.00628164	0.0220813
0.9454	0.931	4.77348	0.569043	0.556232	0.00627653	0.02206
0.9454	0.93	4.77166	0.568579	0.55579	0.00627062	0.0220361
